"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"Charlie and the Chocolate Factory","movie","Adventure, Comedy, Family",2005,"tt0367594",6.7,541005,"AD, AT, BA, BE, BG, CH, CZ, DE, DK, ES, FI, FJ, FR, GF, HK, HR, HU, ID, IN, JP, KR, LI, LU, MC, MD, ME, MK, MY, NO, PF, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW","Netflix"
"The Lord of the Rings: The Fellowship of the Ring","movie","Action, Adventure, Drama",2001,"tt0120737",8.9,2059701,"AU, CH, IN, IT, KR, NZ, SM","Netflix"
"The Lord of the Rings: The Two Towers","movie","Action, Adventure, Drama",2002,"tt0167261",8.8,1830136,"AU, CH, IN, IT, KR, NZ, SM","Netflix"
"The Lord of the Rings: The Return of the King","movie","Action, Adventure, Drama",2003,"tt0167260",9,2029972,"AU, CH, IN, IT, KR, NZ, SM","Netflix"
"Princess Mononoke","movie","Action, Adventure, Animation",1997,"tt0119698",8.3,446699,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Spirited Away","movie","Adventure, Animation, Family",2001,"tt0245429",8.6,880184,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"O Brother, Where Art Thou?","movie","Comedy, Crime, Drama",2000,"tt0190590",7.7,336668,"AU, GB, GG, GI, IE, NZ","Netflix"
"Groundhog Day","movie","Comedy, Drama, Fantasy",1993,"tt0107048",8,699875,"AD, AT, BE, DE, DZ, FR, GF, IL, JP, LI, LU, MA, MC, MU, PF, PL, TN, TR","Netflix"
"Bad Education","movie","Crime, Drama",2004,"tt0275491",7.4,64193,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Brokeback Mountain","movie","Drama, Romance",2005,"tt0388795",7.7,393494,"FR, NL","Netflix"
